t,XA0,XB0,XC0,XD0,XE0,XA8,XB8,XC8,XD8,XE8,
1.,8.6013767179838e-002,8.9063549186403e-003,3.5119453635611e-004,1.3769088947977e-006,0.90472570866436,0.1999562145909,0.19999551028322,0.19999982349918,0.19999999930873,0.20004843774074,
2.,0.16333276473595,1.7437272715365e-002,6.9415183672547e-004,2.7303748839601e-006,0.81852580069158,0.19983843923749,0.19998309695143,0.19999933130431,0.19999999737535,0.20017906867703,
3.,0.23316938552424,2.5635180272352e-002,1.029840382142e-003,4.0631723941449e-006,0.74015306767143,0.1996572117077,0.19996344611321,0.19999854524064,0.19999999427841,0.20038072535237,
4.,0.29584569648374,3.3500996639243e-002,1.3582260016012e-003,5.3750213428881e-006,0.66928205137506,0.19941545108929,0.19993645375629,0.19999745566774,0.19999998997274,0.20065057953189,
5.,0.35206339496053,4.1049873603121e-002,1.6794988103207e-003,6.6660912151029e-006,0.60519364345839,0.19911925743523,0.19990240236032,0.19999606859736,0.19999998447513,0.20098222378224,
6.,0.4024598038009,4.8293036351756e-002,1.9936903723551e-003,7.9359475388411e-006,0.54723927209088,0.19877413626747,0.19986156321104,0.19999438995961,0.19999997780254,0.20136987541413,
7.,0.44761335257685,5.5238786879797e-002,2.300712559885e-003,9.1836996972539e-006,0.494832301362,0.1983850527241,0.19981419948249,0.19999242572956,0.1999999699726,0.20180830018207,
8.,0.48804856235462,6.1893387100882e-002,2.6003930162311e-003,1.0408137114676e-005,0.44744212786711,0.19795648117005,0.19976056846898,0.19999018202051,0.19999996100396,0.20229276034858,
9.,0.52424060232095,6.8261812721159e-002,2.8925066518095e-003,1.1607851391719e-005,0.40458883864912,0.19749245066924,0.19970092307707,0.19998766514687,0.19999995091652,0.20281896765751,
10.,0.55661947437262,7.4348375369217e-002,3.1768028177801e-003,1.2781342764931e-005,0.36583837725292,0.19699658666122,0.19963551269348,0.19998488166048,0.1999999397316,0.20338304075353,
11.,0.58557387073974,8.015721626627e-002,3.4530280140445e-003,1.3927110071723e-005,0.33079816968275,0.19647214914137,0.1995645835455,0.19998183836415,0.19999992747194,0.20398146662833,
12.,0.61145474018696,8.569267949212e-002,3.7209441806637e-003,1.5043724148398e-005,0.29911316661446,0.19592206760893,0.1994883786655,0.19997854230645,0.1999999141617,0.20461106571371,
13.,0.63457859048446,9.0959576459237e-002,3.9803427834854e-003,1.6129885232104e-005,0.27046226234756,0.19534897301955,0.19940713756318,0.19997500076166,0.19999989982636,0.20526896027729,
14.,0.65523054867251,9.5963355506241e-002,4.2310550295166e-003,1.7184465448495e-005,0.24455505472547,0.19475522695829,0.19932109569769,0.19997122119843,0.1999998844926,0.20595254580917,
15.,0.67366719604405,0.10071019164518,4.4729586336304e-003,1.8206537835289e-005,0.22112891364292,0.19414294823285,0.19923048382901,0.1999672112405,0.19999986818812,0.20665946511709,
16.,0.69011919153564,0.10520701161153,4.7059816074948e-003,1.9195393581421e-005,0.19994632882845,0.19351403707375,0.19913552731462,0.19996297862246,0.19999985094144,0.20738758487425,
17.,0.70479369510142,0.10946146868599,4.9301035586781e-003,2.0150549266496e-005,0.18079251036928,0.19287019711821,0.19903644540405,0.19995853114294,0.19999983278173,0.20813497438812,
18.,0.7178766013865,0.11348188050911,5.1453549787206e-003,2.1071745886318e-005,0.16347321796065,0.19221295534534,0.19893345057148,0.19995387661738,0.19999981373856,0.20889988638031,
19.,0.72953459337043,0.11727714150757,5.3518149700744e-003,2.195894137099e-005,0.14781279713857,0.19154368012207,0.19882674791538,0.19994902283201,0.19999979384174,0.20968073958745,
20.,0.73991702540603,0.12085661977819,5.5496078195024e-003,2.2812298165655e-005,0.1336524028161,0.19086359751175,0.19871653464422,0.19994397750022,0.19999977312109,0.21047610301082,
21.,0.7491576450595,0.12423004647944,5.738898775387e-003,2.3632167271791e-005,0.1208483923084,0.19017380598927,0.19860299965945,0.19993874822242,0.19999975160629,0.21128468165883,
22.,0.75737616323483,0.12740740406827,5.9198893330389e-003,2.4419069956868e-005,0.10927087172091,0.18947528969907,0.19848632323995,0.1999333424497,0.19999972932668,0.21210530364108,
23.,0.76467968214676,0.13039881816269,6.0928122790927e-003,2.5173678146446e-005,9.8802381103854e-002,0.18876893038415,0.1983666768275,0.19992776745201,0.19999970631115,0.21293690848613,
24.,0.7711639907334,0.13321445644989,6.2579266959641e-003,2.5896794325895e-005,8.9336705160618e-002,0.18805551810639,0.1982442229085,0.19992203029069,0.19999968258795,0.21377853656703,
25.,0.7769147370411,0.13586443691032,6.4155130817749e-003,2.6589331605929e-005,8.0777797550896e-002,0.18733576087014,0.19811911498512,0.19991613779558,0.19999965818464,0.21462931952986,
26.,0.78200848695792,0.13835874669008,6.5658687010531e-003,2.7252294451408e-005,7.3038807964499e-002,0.18661029325318,0.19799149762667,0.19991009654634,0.19999963312795,0.21548847163009,
27.,0.78651367842013,0.14070717221217,6.7093032472135e-003,2.7886760438364e-005,6.6041202169284e-002,0.18587968414101,0.19786150659167,0.19990391285803,0.19999960744371,0.21635528189098,
28.,0.79049147987998,0.14291924055199,6.8461348692599e-003,2.8493863290327e-005,5.9713966167218e-002,0.1851444436528,0.19772926901034,0.19989759277035,0.1999995811568,0.21722910700592,
29.,0.79399656141648,0.14500417168931,6.9766865919767e-003,2.9074777351003e-005,5.3992886435124e-002,0.18440502933993,0.19759490361759,0.19989114204048,0.19999955429108,0.21810936491427,
30.,0.79707778641314,0.14697084096245,7.1012831405702e-003,2.9630703574509e-005,4.8819898989524e-002,0.18366185173088,0.19745852102676,0.19988456613892,0.19999952686938,0.2189955289869,
