t,TR,TC,TW,W,Ws,_EPS,PR,
0.3,155.44057500782,66.957179024681,91.975178227762,250.,30.,41.254420259121,-40.435768370505,
0.6,25.375212742841,94.980562392751,85.447350740174,250.,0.,26.171411364693,-82.470843675569,
0.9,19.200930640254,48.294724245718,35.891464466778,250.,20.770803789612,16.506445106588,-12.442086409354,
1.2,73.905644825952,42.781488678968,48.897997233467,250.,28.646245383073,16.309239173981,-4.172232960206,
1.5,47.279377558349,57.18883740633,57.561319957701,250.,7.7918062387952e-002,12.830587085199,-25.783256115934,
1.8,30.214710165195,46.773490980816,41.978696845839,250.,7.7141437578218,8.8371901271262,-10.160236494634,
2.1,47.257975062157,40.135169842922,40.787393606722,250.,16.473886370937,8.2383205624677,-0.20275475085068,
2.4,45.693874312198,44.563093073561,45.562592923294,250.,8.4595602010628,7.552099902237,-6.8446396053975,
2.7,37.276862800939,43.357526370997,41.981729816874,250.,7.5155362952775,6.1759129297967,-5.0362895647252,
3.,40.777588812977,40.251629868144,39.952227600228,250.,11.268681247013,5.723063024484,-0.37744480075617,
3.3,42.437845916651,41.037685931957,41.48370993181,250.,9.8168096230364,5.5866692587598,-1.5565288947466,
3.6,39.649911951681,41.315331261186,41.034283741082,250.,8.5772511893886,5.1751240414068,-1.9729968938028,
3.9,39.797957533802,40.273260326016,40.037227887164,250.,9.6730868274567,4.9414886586698,-0.40989048955782,
4.2,40.782677050015,40.211230273495,40.33417527794,250.,9.677208175685,4.8970267923998,-0.31684540905817,
4.5,40.122915388528,40.438167884777,40.414952866444,250.,9.1177450698265,4.7874984485493,-0.65725182742672,
4.8,39.851695624223,40.171816736607,40.071642526079,250.,9.3225655666008,4.690145335991,-0.25772510532561,
5.1,40.194593828107,40.048353651725,40.0650016629,250.,9.4603590167522,4.6664447470425,-7.2530477277166e-002,
5.4,40.112573029053,40.128245530069,40.139952200967,250.,9.2863769697469,4.639372632374,-0.19236829504434,
5.7,39.953136751255,40.081814605459,40.050213767846,250.,9.2861778399441,4.6044498741475,-0.12272190835257,
6.,40.033640241951,40.018104200478,40.013425398958,250.,9.3561439063821,4.5916501035371,-2.7156300668298e-002,
6.3,40.051967795647,40.033916764934,40.041120673812,250.,9.3186027559927,4.5847389516649,-5.0875147344564e-002,
6.6,39.993613917307,40.032550617892,40.024971427152,250.,9.2983382429606,4.5735820849192,-4.8825926883773e-002,
6.9,40.001464134522,40.009365422725,40.004804869301,250.,9.3210614202588,4.5675547771789,-1.404813409173e-002,
7.2,40.018041788735,40.008560493588,40.010798669995,250.,9.3179521206753,4.565396430517,-1.2840740358268e-002,
7.5,40.002470639131,40.011334688112,40.010158937257,250.,9.307260883929,4.5621314580512,-1.7002032176385e-002,
7.8,39.998454834089,40.004725840587,40.002619506316,250.,9.3122190345627,4.5596538977258,-7.0887608874939e-003,
8.1,40.005031525217,40.002320548715,40.002660595467,250.,9.3141012595317,4.5587910412989,-3.4808230651343e-003,
8.4,40.002344980796,40.003557045844,40.003579421366,250.,9.3104249238046,4.5578802462847,-5.3355687657823e-003,
8.7,39.999375943143,40.002111773689,40.001389988758,250.,9.3107754664159,4.5569715634767,-3.1676605373552e-003,
9.,40.001107819345,40.000775759207,40.000692156501,250.,9.3120160248424,4.556589831826,-1.1636388091731e-003,
9.3,40.001137471905,40.001035880656,40.001127735991,250.,9.3111078510128,4.556330835998,-1.5538209834837e-003,
9.6,39.999934529361,40.000836775093,40.000641124615,250.,9.3107986885384,4.5560269255897,-1.2551626409705e-003,
9.9,40.000171053406,40.000316346273,40.000224478216,250.,9.3112505956433,4.5558625575261,-4.7451940876842e-004,
10.2,25.047225646785,36.178261325577,33.24248736762,1500.,15.58513373165,4.8262628699751,5.7326079921055,
10.5,29.754856316387,30.583063725959,29.899278747158,1500.,28.315597269211,6.9950964278837,14.125404414771,
10.8,32.123783650807,30.440913455596,30.770879078513,1500.,30.,9.9156435059965,14.338629818028,
11.1,33.434422867125,31.691955726652,32.133947997486,1500.,30.,12.60327207243,12.462066410233,
11.4,34.430294776489,32.944752480569,33.33218490083,1500.,30.,14.903531910414,10.582871279143,
11.7,35.268352127882,34.014368977792,34.34162201091,1500.,30.,16.855142332467,8.9784465332937,
12.,35.981509364592,34.918610723271,35.195748087411,1500.,30.,18.511440113444,7.6220839150796,
12.3,36.587649885312,35.685336732249,35.920539440381,1500.,30.,19.917704982075,6.4719949016157,
12.6,37.102437610478,36.33624960878,36.535961122027,1500.,30.,21.11180648804,5.4956255868202,
12.9,37.539568882935,36.888962469801,37.058546896603,1500.,30.,22.12576615786,4.6665562952905,
13.2,37.910752683079,37.358295930399,37.502297277399,1500.,30.,22.986759519925,3.9625561043949,
13.5,38.225938835738,37.756826123448,37.879103370139,1500.,30.,23.717862629513,3.364760814823,
13.8,38.493575599554,38.095233733977,38.199064110062,1500.,30.,24.338670751781,2.8571493990304,
14.1,38.720836392177,38.382588811335,38.470755224515,1500.,30.,24.865823096054,2.4261167829929,
14.4,38.91381238008,38.626593191817,38.701458725229,1500.,30.,25.313448673947,2.0601102122703,
14.7,39.077675804678,38.833786810105,38.897358049097,1500.,30.,25.693544978891,1.7493197848398,
15.,39.216818618048,39.009722977724,39.063703791689,1500.,30.,26.016299549231,1.4854155334111,
15.3,39.334970197956,39.159117227155,39.204954437863,1500.,30.,26.290363020311,1.2613241592647,
15.6,39.435297304304,39.285973700531,39.324895860666,1500.,30.,26.523080983379,1.0710394492017,
15.9,39.520488956215,39.39369247082,39.426742792299,1500.,30.,26.72069086594,0.90946129376775,
16.2,39.592828504513,39.485160672354,39.513224987029,1500.,30.,26.888489110522,0.77225899146734,
16.5,39.654254831279,39.562829883294,39.586660385478,1500.,30.,27.030973132677,0.65575517505719,
16.8,39.706414316771,39.628781834103,39.649017241271,1500.,30.,27.151961863043,0.55682724884465,
17.1,39.750704966563,39.68478420316,39.701966875186,1500.,30.,27.254698104301,0.47282369525913,
17.4,39.788313881614,39.732337994997,39.746928470766,1500.,30.,27.341935446456,0.40149300750345,
17.7,39.820249075565,39.772717770999,39.785107112007,1500.,30.,27.416012069984,0.34092334350093,
18.,39.847366492042,39.807005810858,39.817526082647,1500.,30.,27.478913414954,0.28949128371276,
18.3,39.870392946102,39.836121120396,39.845054292745,1500.,30.,27.532325395828,0.24581831940587,
18.6,39.889945604704,39.860844063235,39.86842956766,1500.,30.,27.577679588211,0.20873390514759,
18.9,39.906548528343,39.881837276507,39.888278423632,1500.,30.,27.616191598682,0.17724408523929,
19.2,39.920646717186,39.899663431199,39.905132859988,1500.,30.,27.648893646113,0.15050485320095,
19.5,39.932618038199,39.914800313152,39.919444618071,1500.,30.,27.676662227735,0.12779953027188,
19.8,39.942783352937,39.927653628923,39.931597289041,1500.,30.,27.700241611471,0.10851955661459,
20.1,78.475919240304,41.705734582952,46.223622328047,250.,30.,27.671830561495,-2.5586018661433,
20.4,75.518953395504,67.241805250345,73.265868276485,250.,6.2123407688766,23.437524300883,-40.862707843843,
20.7,25.572598395527,61.17140863235,53.299493740446,250.,0.,15.073334684935,-31.757112995689,
21.,43.994739542511,42.51718211809,40.386388682126,250.,20.412166138554,11.993969658064,-3.775773170622,
21.3,54.61282800999,46.300702764949,48.833180211795,250.,12.807845931162,11.029450029105,-9.4510541282921,
21.6,38.609671925003,48.092893852185,46.541289011902,250.,5.1416283728374,8.5404845799644,-12.139340789378,
21.9,38.760731108845,42.005332664407,40.538207934129,250.,11.269148159567,7.0385735808222,-3.0079990002588,
22.2,44.579465957133,41.357803463255,42.015989353639,250.,11.5660999615,6.7014025749823,-2.036705188049,
22.5,40.939256930576,42.66334767538,42.554010770876,250.,8.2733525955702,6.0341870544901,-3.9950215143048,
22.8,39.171727195898,41.144203858888,40.546391350384,250.,9.3349649728714,5.4256353819996,-1.7163057908394,
23.1,41.116431919388,40.343902467216,40.414651745843,250.,10.195854185664,5.2558539425542,-0.51585369910239,
23.4,40.717800177274,40.777911398285,40.84965055558,250.,9.2062395238168,5.0865533102893,-1.1668670970024,
23.7,39.757301864529,40.521600263051,40.337733450092,250.,9.1604557039872,4.8714280497459,-0.78240039552547,
24.,40.189250539325,40.132745610851,40.096587660293,250.,9.571493551676,4.7853059839258,-0.19911841603567,
24.3,40.316437847382,40.208015430929,40.2487488273,250.,9.3679887309469,4.7400059384814,-0.31202314605345,
24.6,39.977136629931,40.202804494444,40.159714937178,250.,9.2390680992083,4.6716374205439,-0.3042067419168,
24.9,40.00811181611,40.065254040744,40.036285114213,250.,9.3674513631216,4.6326662121587,-9.7881061155014e-002,
25.2,40.107280475455,40.054088006721,40.065941906805,250.,9.3547810005576,4.6179565052534,-8.1132009945004e-002,
25.5,40.019638271468,40.069797925437,40.063333953673,250.,9.2910230573636,4.5978599727704,-0.10469688819406,
25.8,39.991920970773,40.031337104548,40.018570576984,250.,9.3174313819853,4.5822185194292,-4.700565686514e-002,
26.1,40.029479089283,40.01531889755,40.016731573129,250.,9.3297144102864,4.5763463782898,-2.2978346287315e-002,
26.4,40.015255616979,40.021844090986,40.022022340942,250.,9.308535206952,4.5706506717112,-3.2766136475546e-002,
26.7,39.99705548129,40.013555412557,40.009287643381,250.,9.3096488003349,4.5649909595947,-2.0333118854252e-002,
27.,40.006453551661,40.005261761182,40.004568336456,250.,9.3170205719481,4.5624566068588,-7.8926417666972e-003,
27.3,40.007037216438,40.006405525449,40.006911108487,250.,9.3119815596708,4.5607949239189,-9.6082881678909e-003,
27.6,39.999948784737,40.005265495333,40.00412820159,250.,9.3099266106773,4.5589124268412,-7.8982430056904e-003,
27.9,40.00102252004,40.002129598131,40.001533049646,250.,9.3125019130839,4.5578481551407,-3.194397196613e-003,
