t,XA2,XB2,XC2,XD2,XE2,YA2,YB2,YC2,YD2,YE2,
1.,0.90999610970062,0.17146899584679,1.5299472084183e-002,2.4006214394665e-004,-9.7004639775535e-002,0.87478295319912,0.12363273997953,7.354282669119e-003,5.7697821290717e-005,0.74373823272918,
2.,0.89383148402702,0.17765478254197,1.6090268592418e-002,2.534290514774e-004,-8.7829964212888e-002,0.86804392603265,0.12941056527533,7.814071208801e-003,6.1538032630977e-005,0.73075775151589,
3.,0.8787684887541,0.18358396206145,1.6859522678349e-002,2.6646114781513e-004,-7.9478434641714e-002,0.86153806622544,0.13500042626791,8.2654245753519e-003,6.5317030928128e-005,0.71820689835124,
4.,0.86481814063668,0.18921698474799,1.7602999918378e-002,2.7909082372982e-004,-7.191721612678e-002,0.8553072900368,0.14036287264001,8.7055623477998e-003,6.9012530033846e-005,0.70616984251896,
5.,0.85192848126035,0.194534078183,1.8318035263784e-002,2.9127435820656e-004,-6.5071869065338e-002,0.84937628030286,0.14547301558654,9.1323468186947e-003,7.2606863841987e-005,0.69469831103378,
6.,0.84004603711846,0.19952343937445,1.9002636099634e-002,3.0297820437291e-004,-5.8875090796918e-002,0.84376242267324,0.15031295555547,9.5440349731632e-003,7.6085377961268e-005,0.68382934676665,
7.,0.82911552027699,0.20418068973578,1.9655464709014e-002,3.1417881453847e-004,-5.3265853536326e-002,0.83847595181539,0.15487162382033,9.9392875168018e-003,7.9436527056177e-005,0.67358560395121,
8.,0.81908027539333,0.20850790249477,2.0275782994087e-002,3.2486189161176e-004,-4.81888227738e-002,0.83352058273812,0.15914417483405,1.031715162763e-002,8.265177167945e-005,0.66397660450477,
9.,0.80988285814942,0.21251256308043,2.0863387082346e-002,3.3502147219897e-004,-4.3593829784399e-002,0.82889428938671,0.16313123982342,1.0677033387354e-002,8.5725392388301e-005,0.65500029078355,
10.,0.80146567753099,0.21620652057606,2.1418536136514e-002,3.4465890584435e-004,-3.9435393149406e-002,0.8245901682523,0.16683810130258,1.1018662752345e-002,8.8654242268316e-005,0.6466447499551,
11.,0.79377164571277,0.21960497795518,2.1941879201632e-002,3.5378178842714e-004,-3.5672284658008e-002,0.82059733114119,0.17027384180946,1.1342053832552e-002,9.1437458655342e-005,0.63888999804052,
12.,0.78674479200474,0.2227255572013,2.2434383285952e-002,3.6240289885737e-004,-3.2267135390857e-002,0.81690178051171,0.17345051112788,1.1647462980278e-002,9.4076153147792e-005,0.63170973025039,
13.,0.78033081002152,0.22558746382213,2.2897265166745e-002,3.7053917813432e-004,-2.9186078188528e-002,0.81348723144333,0.17638234595307,1.1935346809787e-002,9.6573096370116e-005,0.62507296558411,
14.,0.77447751892492,0.22821076466428,2.3331928708276e-002,3.7821077959467e-004,-2.6398423077073e-002,0.81033585509243,0.17908506558921,1.2206321830487e-002,9.893241080929e-005,0.61894553526193,
