t,c,w,R,Rate_c,Rate_w,
0.1,1.,-2.0729104585167e+027,-1.8084649863757e+024,1.8084649866514e+024,-1.7671207952474e+029,
0.2,1.,-4.938940101261e+027,-1.8084649863757e+024,1.8084649866514e+024,-1.7599557211405e+029,
0.3,1.,-7.7342072199966e+027,-1.8084649863757e+024,1.8084649866514e+024,-1.7529675533437e+029,
0.4,1.,-1.0460458947666e+028,-1.8084649863757e+024,1.8084649866514e+024,-1.7461519240245e+029,
0.5,1.,-1.3119399280347e+028,-1.8084649863757e+024,1.8084649866514e+024,-1.7395045731928e+029,
0.6,1.,-1.5712690142302e+028,-1.8084649863757e+024,1.8084649866514e+024,-1.7330213460379e+029,
0.7,1.,-1.824195242474e+028,-1.8084649863757e+024,1.8084649866514e+024,-1.7266981903318e+029,
0.8,1.,-2.070876699892e+028,-1.8084649863757e+024,1.8084649866514e+024,-1.7205311538964e+029,
0.9,1.,-2.3114675704255e+028,-1.8084649863757e+024,1.8084649866514e+024,-1.7145163821331e+029,
1.,1.,-2.5461182312003e+028,-1.8084649863757e+024,1.8084649866514e+024,-1.7086501156137e+029,
1.1,1.,-2.7749753465174e+028,-1.8084649863757e+024,1.8084649866514e+024,-1.7029286877308e+029,
1.2,1.,-2.9981819595244e+028,-1.8084649863757e+024,1.8084649866514e+024,-1.6973485224056e+029,
1.3,1.,-3.2158775816205e+028,-1.8084649863757e+024,1.8084649866514e+024,-1.6919061318532e+029,
1.4,1.,-3.428198279656e+028,-1.8084649863757e+024,1.8084649866514e+024,-1.6865981144023e+029,
1.5,1.,-3.6352767609787e+028,-1.8084649863757e+024,1.8084649866514e+024,-1.6814211523692e+029,
1.6,1.,-3.8372424563806e+028,-1.8084649863757e+024,1.8084649866514e+024,-1.6763720099842e+029,
1.7,1.,-4.0342216009957e+028,-1.8084649863757e+024,1.8084649866514e+024,-1.6714475313688e+029,
1.8,1.,-4.2263373132018e+028,-1.8084649863757e+024,1.8084649866514e+024,-1.6666446385636e+029,
1.9,1.,-4.4137096715727e+028,-1.8084649863757e+024,1.8084649866514e+024,-1.6619603296044e+029,
2.,1.,-4.596455789932e+028,-1.8084649863757e+024,1.8084649866514e+024,-1.6573916766454e+029,
2.1,1.,-4.7746898905533e+028,-1.8084649863757e+024,1.8084649866514e+024,-1.6529358241299e+029,
2.2,1.,-4.9485233755508e+028,-1.8084649863757e+024,1.8084649866514e+024,-1.6485899870049e+029,
2.3,1.,-5.1180648965112e+028,-1.8084649863757e+024,1.8084649866514e+024,-1.6443514489809e+029,
2.4,1.,-5.2834204224042e+028,-1.8084649863757e+024,1.8084649866514e+024,-1.6402175608336e+029,
2.5,1.,-5.4446933058163e+028,-1.8084649863757e+024,1.8084649866514e+024,-1.6361857387483e+029,
2.6,1.,-5.6019843475496e+028,-1.8084649863757e+024,1.8084649866514e+024,-1.6322534627049e+029,
