t,L,Fin,Fout,Eps,S,Lsp,Cv,track,
4.,5.0000000000269,11.61288,11.612879935104,2.6552335046226e-012,0.50000000010621,5.,3.7058189008291e-002,10.000000000027,
8.,5.0000000000531,11.61288,11.612879937929,5.2708862980921e-012,0.50000000021084,5.,3.7058189017256e-002,10.000000000053,
12.,5.0000000000782,11.61288,11.612879940897,7.7761172851964e-012,0.50000000031104,5.,3.7058189026682e-002,10.000000000078,
16.,5.0000000001019,11.61288,11.612879943983,1.0156122095317e-011,0.50000000040624,5.,3.7058189036485e-002,10.000000000102,
20.,5.0000000001244,11.61288,11.61287994717,1.2406527083897e-011,0.50000000049626,5.,3.7058189046613e-002,10.000000000124,
24.,5.0000000001456,11.61288,11.612879950442,1.4523513083731e-011,0.50000000058094,5.,3.7058189057015e-002,10.000000000145,
28.,5.0000000001653,11.61288,11.612879953782,1.6503717070293e-011,0.50000000066015,5.,3.7058189067639e-002,10.000000000165,
32.,5.0000000001837,11.61288,11.612879957176,1.8344596949937e-011,0.50000000073378,5.,3.7058189078435e-002,10.000000000183,
36.,5.0000000002007,11.61288,11.612879960609,2.004448326387e-011,0.50000000080178,5.,3.7058189089357e-002,10.0000000002,
40.,5.0000000002163,11.61288,11.612879964064,2.1602004093957e-011,0.50000000086408,5.,3.7058189100355e-002,10.000000000216,
44.,5.0000000002304,11.61288,11.612879967529,2.3016466977666e-011,0.50000000092066,5.,3.7058189111385e-002,10.00000000023,
48.,5.0000000002431,11.61288,11.612879970988,2.4287755500119e-011,0.50000000097151,5.,3.7058189122401e-002,10.000000000243,
52.,5.0026521245529,25.,11.867026152824,2.6521245516035e-004,0.51060849820641,5.,3.7864181433252e-002,10.002652124552,
56.,5.0078002097566,25.,12.397274079706,7.8002097561946e-004,0.53120083902478,5.,3.9545870968838e-002,10.007800209756,
60.,5.012730658584,25.,12.954291493669,1.2730658565878e-003,0.55092263426351,5.,4.1312516538542e-002,10.012730658566,
64.,5.0174330498673,25.,13.535086937078,1.7433049747898e-003,0.56973219899159,5.,4.3154596511212e-002,10.017433049748,
68.,5.0218992285675,25.,14.136591981642,2.1899228386655e-003,0.58759691354662,5.,4.5062360718891e-002,10.021899228387,
72.,5.026121903647,25.,14.755832162099,2.6121903585844e-003,0.60448761434338,5.,4.7026371334151e-002,10.026121903586,
76.,5.0300930397778,25.,15.389977284917,3.0093039733093e-003,0.62037215893237,5.,4.9037660974398e-002,10.030093039733,
80.,5.0338083481463,25.,16.036084614051,3.3808348138068e-003,0.63523339255227,5.,5.108691667721e-002,10.033808348138,
84.,5.037262621672,25.,16.691368517958,3.7262621614953e-003,0.64905048645981,5.,5.3165333829654e-002,10.037262621615,
88.,5.0404528906861,25.,17.35305525856,4.0452890602334e-003,0.66181156240934,5.,5.526415368228e-002,10.040452890602,
92.,5.043379588895,25.,18.018442884573,4.3379588888855e-003,0.67351835555542,5.,5.7374849992141e-002,10.043379588889,
96.,5.0460392788244,25.,18.68498066789,4.603927883222e-003,0.68415711532888,5.,5.9489383481736e-002,10.046039278832,
100.,5.0484324627481,25.,19.350156526364,4.8432462748455e-003,0.69372985099382,5.,6.1599839286369e-002,10.048432462748,
104.,5.0505596415456,25.,20.011548275732,5.0559641560636e-003,0.70223856624254,5.,6.369859023101e-002,10.050559641561,
108.,5.0524240442146,25.,20.666875248013,5.2424044215046e-003,0.70969617686019,5.,6.5778455771513e-002,10.052424044215,
112.,5.0540273878429,25.,21.313909586181,5.4027387859995e-003,0.71610955143998,5.,6.7832424751996e-002,10.05402738786,
116.,5.0553740829363,25.,21.950585498983,5.5374082955089e-003,0.72149633182035,5.,6.9853994812997e-002,10.055374082955,
120.,5.0564687661748,25.,22.57494268758,5.6468766174827e-003,0.72587506469931,5.,7.1836995137014e-002,10.056468766175,
124.,5.0573162493748,25.,23.18510388425,5.7316249374899e-003,0.72926499749959,5.,7.3775514848327e-002,10.057316249375,
128.,5.0579217056242,25.,23.779269652885,5.7921705898759e-003,0.73168682359504,5.,7.4116378e-002,10.057921705899,
132.,5.0582946228238,25.,24.356040722925,5.8294622916825e-003,0.7331784916673,5.,7.4116378e-002,10.058294622917,
136.,5.0584404704223,25.,24.913811320211,5.8440470423359e-003,0.73376188169344,5.,7.4116378e-002,10.058440470423,
140.,5.0583662130362,25.,25.451131243962,5.8366213200372e-003,0.73346485280149,5.,7.4116378e-002,10.0583662132,
144.,5.0580815440914,25.,25.966890025748,5.8081544425646e-003,0.73232617770259,5.,7.4116378e-002,10.058081544426,
148.,5.0575961860662,25.,26.460100431989,5.7596186067788e-003,0.73038474427115,5.,7.4116378e-002,10.057596186068,
152.,5.0571479314063,25.,24.622238455492,3.2147936764067e-003,0.63109174705627,5.025,7.4116378e-002,10.057147936764,
156.,5.0581637695257,25.,20.246126493392,-1.6836230452092e-003,0.44015507819163,5.075,6.4420909706451e-002,10.058163769548,
160.,5.0609940831888,25.,15.590269354588,-6.4005914114523e-003,0.25647634354191,5.125,4.9599535842782e-002,10.060994085885,
164.,5.0657253015956,25.,10.683264329395,-1.0927469820232e-002,8.0401207190701e-002,5.175,3.3980186107843e-002,10.065725301798,
168.,5.072472144293,25.,5.5483392704758,-1.5252785075004e-002,-8.7611403000159e-002,5.225,1.764165936418e-002,10.07247214925,
172.,5.0813249681738,25.,0.21081421818197,-1.936750246123e-002,-0.24720009844919,5.275,1.0320649244399e-003,10.081324975388,
176.,5.0923269032767,25.,-5.3016202034006,-2.3267309653711e-002,-0.39819238614844,5.325,0.,10.092326903463,
180.,5.1055752560192,25.,-10.966932556816,-2.6942474352504e-002,-0.54019897410016,5.375,0.,10.105575256475,
184.,5.1211153802842,25.,-16.760078761915,-3.0388461971572e-002,-0.67303847886286,5.425,0.,10.121115380284,
188.,5.1389965897082,25.,-22.65744985431,-3.3600341021938e-002,-0.79651364087753,5.475,0.,10.138996589781,
192.,5.1592532520178,25.,-28.635681796816,-3.6574674608106e-002,-0.91048698432422,5.525,0.,10.159253253919,
196.,5.1819120973342,25.,-34.672073836407,-3.9308790266571e-002,-1.0148516106628,5.575,0.,10.181912097334,
200.,5.2070006243764,25.,-40.744557953201,-4.179993756824e-002,-1.1094975027296,5.625,0.,10.207000624318,
204.,5.2345167809773,25.,-46.831413764424,-4.4048321957469e-002,-1.1944328782988,5.675,0.,10.234516780425,
208.,5.2644647109466,25.,-52.911752256905,-4.6053528937292e-002,-1.2696411574917,5.725,0.,10.264464710627,
212.,5.2968503645851,25.,-58.965028765674,-4.78149637132e-002,-1.335098548528,5.775,0.,10.296850362868,
216.,5.3316332635558,25.,-64.97199053915,-4.9336673737643e-002,-1.3909669495057,5.825,0.,10.331633262624,
220.,5.3688050399545,25.,-70.913445421137,-5.0619496006396e-002,-1.4372798402558,5.875,0.,10.368805039936,
224.,5.4083445914032,25.,-76.770663743744,-5.1665540866227e-002,-1.4741216346491,5.925,0.,10.408344591338,
228.,5.4502075844414,25.,-82.526167594839,-5.2479241556256e-002,-1.5016696622502,5.975,0.,10.450207584437,
232.,5.4943502514879,25.,-88.162989938164,-5.3064974866406e-002,-1.5200989946562,6.025,0.,10.494350251336,
236.,5.5407203721461,25.,-93.665031681759,-5.3427962789985e-002,-1.5296185115994,6.075,0.,10.5407203721,
240.,5.5892620041964,25.,-99.016822351422,-5.3573799586307e-002,-1.5304519834523,6.125,0.,10.589262004137,
244.,5.6399118209396,25.,-104.20377687937,-5.3508817910104e-002,-1.5228527164042,6.175,0.,10.639911820899,
248.,5.6926009344026,25.,-109.2121396158,-5.3239906560369e-002,-1.5070962624148,6.225,0.,10.692600934396,
252.,5.7465407230814,25.,-109.21968373842,-4.7845927738563e-002,-1.2913371095425,6.225,0.,10.746540722614,
256.,5.8001364640814,25.,-108.6769134251,-4.2486353939148e-002,-1.0769541575659,6.225,0.,10.800136460609,
260.,5.8534164408573,25.,-107.64189556054,-3.7158356385855e-002,-0.8638342554342,6.225,0.,10.853416436141,
264.,5.9061875417274,25.,-106.13261954775,-3.1881245832125e-002,-0.65274983328499,6.225,0.,10.906187541679,
268.,5.9582623984205,25.,-104.16791823915,-2.6673760172634e-002,-0.44445040690535,6.225,0.,10.958262398274,
272.,6.009464221396,25.,-101.76978272687,-2.1553577861162e-002,-0.23964311444647,6.225,0.,11.009464221388,
276.,6.0596199531446,25.,-98.959418498632,-1.6538005078678e-002,-3.9020203147128e-002,6.225,0.,11.059619949213,
280.,6.1085725532748,25.,-95.761903184465,-1.1642745718402e-002,0.15679017126392,6.225,0.,11.108572542816,
284.,6.1561852299179,25.,-92.205108241966,-6.8814771328327e-003,0.34724091468669,6.225,0.,11.156185228672,
288.,6.2022915574081,25.,-88.308369582163,-2.2708450728419e-003,0.53166619708632,6.225,0.,11.202291549272,
292.,6.2467932466164,25.,-84.104712303179,2.179324658421e-003,0.70967298633684,6.225,0.,11.246793246584,
296.,6.2895453411459,25.,-79.616408760719,6.4545340417412e-003,0.88068136166965,6.225,0.,11.289545340417,
300.,6.3304524062689,25.,-74.873331717147,1.0545240622704e-002,1.0443096249082,6.225,0.,11.330452406227,
304.,6.3694055163376,25.,-69.902193617621,1.4440551318026e-002,1.200122052721,6.225,0.,11.36940551318,
308.,6.4063484588397,25.,-64.734133781808,1.8134845861385e-002,1.3478938344554,6.225,0.,11.406348458614,
312.,6.4411795901155,25.,-59.394739573186,2.1617958988145e-002,1.4872183595258,6.225,0.,11.441179589881,
316.,6.4738448245426,25.,-53.913082106792,2.4884482447701e-002,1.617879297908,6.225,0.,11.473844824477,
320.,6.5042944409801,25.,-48.317212502162,2.7929444093203e-002,1.7396777637281,6.225,0.,11.504294440932,
324.,6.5324862691112,25.,-42.63462144477,3.0748626841449e-002,1.8524450736579,6.225,0.,11.532486268414,
